ParkID,FacilityCount,FacilityType,FacilityURL
52,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
52,1,Washrooms,
53,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
54,1,Playgrounds,//vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
54,2,Tennis Courts,
54,1,Soccer Fields,
54,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
55,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
56,1,Playgrounds,//vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
56,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
57,1,Field Houses,
57,1,Playgrounds,//vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
57,4,Tennis Courts,
57,1,Water/Spray Parks,
57,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
57,1,Washrooms,
58,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
60,1,Playgrounds,//vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
60,1,Swimming Pools,//vancouver.ca/parks-recreation-culture/swimming-pools.aspx
60,1,Soccer Fields,
60,1,Softball,
60,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
60,1,Running Tracks,
61,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
62,1,Playgrounds,//vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
62,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
62,1,Washrooms,
63,1,Playgrounds,//vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
63,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
64,2,Soccer Fields,
64,1,Playgrounds,//vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
64,1,Wading Pool,
64,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
64,2,Softball,
64,1,Washrooms,
65,1,Field Houses,
65,2,Football Fields,
65,3,Soccer Fields,
65,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
65,1,Washrooms,
66,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
67,1,Playgrounds,//vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
67,1,Field Houses,
67,2,Tennis Courts,
67,1,Wading Pool,
67,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
